"BehaviorSpace results (NetLogo 5.0.5)"
"Tournament.nlogo"
"experiment"
"03/17/2014 14:50:42:366 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","[step]","[points] of turtle 0","[num_wins] of turtle 0","[points] of turtle 1","[num_wins] of turtle 1","[points] of turtle 2","[num_wins] of turtle 2","[points] of turtle 3","[num_wins] of turtle 3","[points] of turtle 4","[num_wins] of turtle 4","[points] of turtle 5","[num_wins] of turtle 5","[points] of turtle 6","[num_wins] of turtle 6","[points] of turtle 7","[num_wins] of turtle 7","[points] of turtle 8","[num_wins] of turtle 8","[points] of turtle 9","[num_wins] of turtle 9","[points] of turtle 10","[num_wins] of turtle 10","[points] of turtle 11","[num_wins] of turtle 11","[points] of turtle 12","[num_wins] of turtle 12","[points] of turtle 13","[num_wins] of turtle 13","[points] of turtle 14","[num_wins] of turtle 14"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","1","20","4","20","4","33","11","13","13","30","6","25","5","20","4","25","5","25","5","30","6","36","7","39","9","29","7","20","4","20","4"
"3","2","62","15","40","8","54","18","21","21","58","13","61","17","40","8","38","9","50","10","50","10","56","13","58","15","64","16","50","18","52","11"
"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","1","20","4","20","4","32","10","14","14","30","6","20","4","20","4","20","4","25","5","25","5","40","9","31","8","43","8","20","4","20","4"
"3","3","96","24","77","16","63","21","28","28","82","21","73","29","60","12","49","13","60","12","65","13","70","18","75","20","92","26","76","28","62","13"
"4","1","20","4","20","4","33","9","14","14","30","6","30","6","20","4","25","5","35","7","25","5","26","7","25","7","54","10","20","4","30","6"
"1","1","20","4","20","4","40","10","14","14","25","5","35","7","20","4","20","4","35","7","40","8","38","9","23","8","27","8","20","4","25","5"
"2","2","68","15","40","8","52","15","23","23","54","12","53","15","40","8","33","8","45","9","45","9","70","15","52","13","68","16","50","18","52","11"
"4","2","56","12","40","8","62","17","23","23","58","13","66","18","40","8","36","8","50","10","50","10","56","15","45","13","85","19","50","18","58","12"
"3","4","127","33","113","26","85","27","35","35","98","29","83","31","80","16","60","17","70","14","78","16","80","21","82","23","110","35","103","39","90","20"
"2","3","103","23","91","20","75","21","30","30","81","21","65","27","60","12","43","11","55","11","55","11","82","18","66","18","85","23","76","28","62","13"
"4","3","91","22","88","18","73","22","30","30","82","21","78","30","60","12","48","11","65","13","60","12","68","19","59","16","109","28","76","28","73","15"
"1","2","63","14","40","8","65","16","23","23","49","11","68","18","40","8","44","10","55","11","55","11","58","15","44","13","53","16","50","18","53","11"
"2","4","133","31","132","30","89","26","37","37","101","31","70","28","80","16","53","14","70","14","68","14","102","24","76","22","109","34","103","39","90","20"
"4","4","123","32","123","27","85","26","37","37","102","31","83","31","80","16","59","14","70","14","78","16","82","23","62","19","127","38","103","39","99","21"
"4","5","150","40","157","37","96","29","42","42","112","41","92","34","100","20","67","16","80","16","99","21","102","29","69","22","142","47","127","47","119","25"
"2","5","162","40","163","39","105","31","42","42","110","40","79","31","100","20","60","16","80","16","81","18","114","27","87","26","121","42","128","48","113","25"
"1","3","102","23","83","19","79","20","30","30","67","17","80","30","60","12","53","12","60","12","60","12","76","19","52","15","70","22","76","28","66","14"
"3","5","154","41","145","35","96","30","40","40","108","39","92","34","100","20","68","20","85","17","94","20","94","24","93","26","126","44","128","48","113","25"
"4","6","179","49","183","44","123","36","47","47","127","44","101","43","125","25","81","20","85","17","118","26","108","32","78","25","156","57","152","56","147","33"
"2","6","190","48","189","46","129","37","47","47","125","43","87","39","125","25","72","20","90","18","88","20","128","31","96","30","133","51","153","57","137","31"
"1","4","140","33","123","29","99","25","37","37","85","26","90","32","80","16","68","16","65","13","68","14","90","22","60","18","94","33","103","39","96","21"
"3","6","183","50","172","43","113","35","45","45","113","40","100","42","125","25","77","23","95","19","103","23","100","25","98","30","144","53","153","57","141","32"
"1","5","172","41","158","38","106","28","42","42","95","36","102","36","100","20","80","19","75","15","80","17","104","25","71","21","116","42","128","48","111","24"
"2","7","221","58","221","56","137","39","53","53","145","48","97","41","150","30","85","24","100","20","101","24","146","36","105","34","149","60","178","66","159","38"
"4","7","209","59","214","54","146","43","53","53","147","49","111","45","150","30","98","25","95","19","139","32","118","36","87","30","174","68","176","64","168","39"
"3","7","213","60","203","53","123","40","51","51","133","45","105","43","150","30","89","27","105","21","115","28","112","29","111","34","152","61","178","66","161","39"
"3","8","241","69","234","63","143","45","57","57","142","48","114","46","175","35","97","30","115","23","127","33","128","33","119","38","166","69","202","74","176","43"
"2","8","250","67","253","66","153","43","59","59","154","51","109","45","175","35","92","26","110","22","110","27","160","41","113","39","160","68","203","75","174","42"
"4","8","237","68","245","64","158","48","59","59","156","52","120","48","175","35","109","28","105","21","151","36","130","39","102","35","191","77","201","73","187","44"
"2","9","278","75","281","74","163","50","64","64","164","56","117","53","200","40","101","29","115","23","120","30","180","47","122","43","173","74","227","83","187","47"
"4","9","263","75","272","72","165","51","64","64","164","56","128","56","200","40","120","31","120","24","159","38","140","42","108","38","205","86","225","81","197","48"
"3","9","268","77","260","70","153","49","61","61","152","53","122","54","200","40","105","33","130","26","135","36","132","35","132","42","178","77","226","82","188","47"
"1","6","199","48","184","45","119","33","46","46","100","37","110","44","125","25","92","22","80","16","90","20","118","29","75","24","139","51","153","57","135","31"
"2","10","307","84","307","81","178","53","69","69","171","63","122","54","225","45","112","33","120","24","133","34","202","54","129","47","186","82","251","91","210","53"
"4","10","291","84","299","80","169","53","69","69","171","63","138","58","225","45","133","35","125","25","175","43","148","45","115","42","214","94","249","89","222","55"
"3","10","296","86","287","78","169","52","66","66","159","60","132","56","225","45","115","37","140","28","146","40","158","41","137","46","187","85","249","89","209","53"
"1","7","228","57","215","55","140","37","52","52","116","41","120","46","150","30","110","27","95","19","102","24","142","35","87","29","157","61","178","66","152","37"
"2","11","336","93","336","91","183","54","75","75","181","65","134","58","250","50","126","38","130","26","142","38","222","59","138","52","200","91","276","100","220","57"
"3","11","324","95","316","88","184","57","72","72","174","63","147","61","250","50","128","42","145","29","155","44","168","45","150","51","196","93","274","98","221","57"
"4","11","319","93","328","90","184","56","75","75","186","66","153","63","250","50","143","38","135","27","186","47","154","47","124","46","226","103","274","98","236","59"
"3","12","351","103","344","97","200","61","77","77","190","67","155","69","275","55","136","44","155","31","164","48","184","48","153","54","209","100","298","106","242","63"
"2","12","364","101","364","100","197","59","80","80","197","69","142","66","275","55","138","42","140","28","149","41","240","64","143","55","207","98","300","108","239","63"
"1","8","255","65","246","65","149","40","58","58","128","45","129","49","175","35","115","28","105","21","116","29","152","37","94","33","171","69","203","75","175","43"
"4","12","346","101","356","99","197","60","80","80","194","68","161","71","275","55","154","41","140","28","195","50","160","50","129","49","237","112","298","106","257","65"
"2","13","393","110","392","109","214","63","86","86","212","74","147","67","300","60","147","45","145","29","159","46","260","68","153","60","223","107","325","117","256","68"
"3","13","379","112","372","106","208","65","83","83","205","72","170","72","300","60","143","46","160","32","174","53","194","51","159","59","225","109","323","115","254","67"
"4","13","374","110","384","108","217","65","86","86","206","72","166","72","300","60","164","44","145","29","207","55","170","54","137","53","247","121","323","115","271","69"
"2","14","420","118","420","118","225","68","92","92","222","79","153","69","325","65","158","49","150","30","169","51","270","71","166","65","240","116","350","126","277","74"
"1","9","283","73","273","73","157","43","63","63","136","49","137","57","200","40","127","31","115","23","123","31","172","43","101","36","185","77","227","83","188","48"
"3","14","407","121","399","114","214","67","89","89","215","77","182","76","325","65","151","49","170","34","184","58","204","53","167","64","240","119","348","124","271","72"
"2","15","445","124","446","125","235","73","96","96","227","84","159","75","350","70","163","50","165","33","177","54","290","77","168","67","254","123","372","132","285","76"
"4","14","402","119","412","117","229","68","91","91","216","77","172","74","325","65","176","48","160","32","219","60","180","57","146","57","262","130","348","124","292","75"
"3","15","432","127","425","121","226","71","93","93","220","82","188","82","350","70","159","52","175","35","194","62","216","56","176","67","256","126","371","131","282","75"
"1","10","310","81","299","80","166","46","68","68","143","56","147","59","225","45","141","35","120","24","135","35","186","47","111","40","199","85","251","91","213","55"
"4","15","428","126","438","124","233","70","95","95","221","82","178","80","350","70","184","50","170","34","231","64","194","61","152","59","272","138","371","131","300","77"
"2","16","473","133","474","134","247","75","102","102","237","86","169","77","375","75","176","55","180","36","187","59","304","81","181","71","271","132","397","141","305","82"
"3","16","460","136","453","130","242","75","99","99","225","83","198","84","375","75","169","56","180","36","204","67","238","61","183","72","269","134","396","140","300","81"
"2","17","501","142","502","143","255","76","108","108","249","89","184","82","400","80","189","60","185","37","197","64","328","87","189","75","284","141","422","150","319","87"
"3","17","488","145","481","139","249","79","105","105","237","86","210","88","400","80","181","61","185","37","214","72","248","63","195","77","282","143","421","149","317","87"
"4","16","455","134","466","133","256","76","101","101","236","85","188","82","375","75","195","54","175","35","240","68","202","64","161","63","288","147","396","140","324","84"
"2","18","528","150","529","151","264","78","113","113","261","93","190","88","425","85","200","64","195","39","206","68","338","91","196","79","293","149","446","158","340","92"
"3","18","514","152","508","147","251","80","110","110","249","90","217","95","425","85","191","65","195","39","223","76","260","68","205","81","294","151","445","157","330","90"
"4","17","483","143","494","142","279","83","107","107","244","87","200","86","400","80","206","58","190","38","252","73","216","68","170","66","300","156","421","149","337","88"
"2","19","555","158","557","160","274","84","119","119","269","97","200","90","450","90","211","68","205","41","216","73","356","96","205","84","307","158","471","167","360","98"
"1","11","337","89","328","90","174","49","74","74","158","59","162","64","250","50","151","38","130","26","148","40","204","51","123","45","212","93","275","99","227","59"
"3","19","542","161","536","156","259","81","116","116","257","94","227","97","450","90","201","69","200","40","233","81","278","72","211","86","304","160","470","166","346","96"
"4","18","510","151","520","149","288","87","112","112","256","91","207","93","425","85","216","61","200","40","260","76","224","72","173","69","315","164","445","157","356","93"
"2","20","582","166","584","168","284","87","124","124","274","102","209","93","475","95","220","71","215","43","226","78","364","99","217","87","316","166","495","175","387","104"
"3","20","569","169","563","164","266","82","121","121","263","100","239","101","475","95","209","72","205","41","243","86","286","75","223","90","316","167","494","174","365","101"
"4","19","538","160","548","158","296","91","117","117","266","96","212","94","450","90","225","64","205","41","269","80","236","76","185","74","322","172","469","165","366","97"
"1","12","364","97","356","99","187","53","79","79","170","62","170","72","275","55","161","41","135","27","156","43","220","55","130","49","227","101","299","107","248","65"
